0:0:0:0:0:0:0:1 - - [26/May/2017:15:24:32 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:15:24:32 +0800] "GET /gg_shop/images/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:15:43:24 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 2005
0:0:0:0:0:0:0:1 - - [26/May/2017:15:43:24 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:15:43:24 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:15:44:35 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 2005
0:0:0:0:0:0:0:1 - - [26/May/2017:15:44:35 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [26/May/2017:15:44:35 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [26/May/2017:15:44:36 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [26/May/2017:15:44:36 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [26/May/2017:15:54:59 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 2461
0:0:0:0:0:0:0:1 - - [26/May/2017:15:54:59 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:15:54:59 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:16:00:43 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 2744
0:0:0:0:0:0:0:1 - - [26/May/2017:16:00:43 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:16:00:43 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:16:06:56 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 3217
0:0:0:0:0:0:0:1 - - [26/May/2017:16:06:56 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:16:06:56 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:16:15:54 +0800] "GET /gg_shop/test.html HTTP/1.1" 200 4089
